State,Year,Quater,Registered_Users,App_Opens
Andaman and Nicobar Islands,2018,1,632,0
Andaman and Nicobar Islands,2018,1,5846,0
Andaman and Nicobar Islands,2018,1,262,0
Andaman and Nicobar Islands,2018,2,911,0
Andaman and Nicobar Islands,2018,2,8143,0
Andaman and Nicobar Islands,2018,2,351,0
Andaman and Nicobar Islands,2018,3,1208,0
Andaman and Nicobar Islands,2018,3,10474,0
Andaman and Nicobar Islands,2018,3,467,0
Andaman and Nicobar Islands,2018,4,1553,0
Andaman and Nicobar Islands,2018,4,13133,0
Andaman and Nicobar Islands,2018,4,536,0
Andaman and Nicobar Islands,2019,1,2013,0
Andaman and Nicobar Islands,2019,1,15961,0
Andaman and Nicobar Islands,2019,1,622,0
Andaman and Nicobar Islands,2019,2,2417,6118
Andaman and Nicobar Islands,2019,2,18621,43569
Andaman and Nicobar Islands,2019,2,693,2953
Andaman and Nicobar Islands,2019,3,2662,22064
Andaman and Nicobar Islands,2019,3,20518,138190
Andaman and Nicobar Islands,2019,3,751,10853
Andaman and Nicobar Islands,2019,4,2955,26253
Andaman and Nicobar Islands,2019,4,22202,139646
Andaman and Nicobar Islands,2019,4,803,11113
Andaman and Nicobar Islands,2020,1,3315,30444
Andaman and Nicobar Islands,2020,1,24174,151529
Andaman and Nicobar Islands,2020,1,879,11613
Andaman and Nicobar Islands,2020,2,4100,56992
Andaman and Nicobar Islands,2020,2,27626,231071
Andaman and Nicobar Islands,2020,2,984,17009
Andaman and Nicobar Islands,2020,3,5355,76553
Andaman and Nicobar Islands,2020,3,34833,417785
Andaman and Nicobar Islands,2020,3,1147,21227
Andaman and Nicobar Islands,2020,4,7076,125915
Andaman and Nicobar Islands,2020,4,43908,725321
Andaman and Nicobar Islands,2020,4,1412,35972
Andaman and Nicobar Islands,2021,1,7833,121680
Andaman and Nicobar Islands,2021,1,48352,837589
Andaman and Nicobar Islands,2021,1,1573,45067
Andaman and Nicobar Islands,2021,2,8493,596182
Andaman and Nicobar Islands,2021,2,51903,1270226
Andaman and Nicobar Islands,2021,2,1699,381815
Andaman and Nicobar Islands,2021,3,9263,759314
Andaman and Nicobar Islands,2021,3,55873,1771107
Andaman and Nicobar Islands,2021,3,1846,591204
Andaman and Nicobar Islands,2021,4,10002,171921
Andaman and Nicobar Islands,2021,4,59807,1863037
Andaman and Nicobar Islands,2021,4,1971,77952
Andaman and Nicobar Islands,2022,1,10720,904869
Andaman and Nicobar Islands,2022,1,63487,2368756
Andaman and Nicobar Islands,2022,1,2081,573782
Andaman and Nicobar Islands,2022,2,11379,963824
Andaman and Nicobar Islands,2022,2,66959,3404740
Andaman and Nicobar Islands,2022,2,2192,811449
Andaman and Nicobar Islands,2022,3,11897,1176567
Andaman and Nicobar Islands,2022,3,70445,3607286
Andaman and Nicobar Islands,2022,3,2300,1284501
Andaman and Nicobar Islands,2022,4,12361,313502
Andaman and Nicobar Islands,2022,4,73692,3881359
Andaman and Nicobar Islands,2022,4,2389,159232
Andaman and Nicobar Islands,2023,1,12941,3103047
Andaman and Nicobar Islands,2023,1,77052,5450795
Andaman and Nicobar Islands,2023,1,2491,2458822
Andaman and Nicobar Islands,2023,2,13600,3174229
Andaman and Nicobar Islands,2023,2,80112,6884657
Andaman and Nicobar Islands,2023,2,2617,4679790
Andaman and Nicobar Islands,2023,3,14216,7130284
Andaman and Nicobar Islands,2023,3,83305,5950899
Andaman and Nicobar Islands,2023,3,2734,7463896
Andaman and Nicobar Islands,2023,4,14813,1869462
Andaman and Nicobar Islands,2023,4,86348,7452861
Andaman and Nicobar Islands,2023,4,2817,523637
Andaman and Nicobar Islands,2024,1,15539,9022450
Andaman and Nicobar Islands,2024,1,89907,12147903
Andaman and Nicobar Islands,2024,1,2965,7368398
Andaman and Nicobar Islands,2024,2,16183,6159746
Andaman and Nicobar Islands,2024,2,93421,6749599
Andaman and Nicobar Islands,2024,2,3083,3967538
Andaman and Nicobar Islands,2024,3,21728,9789799
Andaman and Nicobar Islands,2024,3,143250,6545536
Andaman and Nicobar Islands,2024,3,7495,3219511
Andaman and Nicobar Islands,2024,4,22547,2194985
Andaman and Nicobar Islands,2024,4,148543,15101583
Andaman and Nicobar Islands,2024,4,7698,1395115
Andhra Pradesh,2018,1,350356,0
Andhra Pradesh,2018,1,143839,0
Andhra Pradesh,2018,1,497187,0
Andhra Pradesh,2018,1,189949,0
Andhra Pradesh,2018,1,241192,0
Andhra Pradesh,2018,1,240133,0
Andhra Pradesh,2018,1,317065,0
Andhra Pradesh,2018,1,323673,0
Andhra Pradesh,2018,1,194475,0
Andhra Pradesh,2018,1,128905,0
Andhra Pradesh,2018,1,186800,0
Andhra Pradesh,2018,1,213335,0
Andhra Pradesh,2018,1,309541,0
Andhra Pradesh,2018,2,454398,0
Andhra Pradesh,2018,2,186913,0
Andhra Pradesh,2018,2,636052,0
Andhra Pradesh,2018,2,253458,0
Andhra Pradesh,2018,2,326383,0
Andhra Pradesh,2018,2,319313,0
Andhra Pradesh,2018,2,420326,0
Andhra Pradesh,2018,2,431965,0
Andhra Pradesh,2018,2,261049,0
Andhra Pradesh,2018,2,167327,0
Andhra Pradesh,2018,2,248657,0
Andhra Pradesh,2018,2,282393,0
Andhra Pradesh,2018,2,414306,0
Andhra Pradesh,2018,3,558982,0
Andhra Pradesh,2018,3,228456,0
Andhra Pradesh,2018,3,769096,0
Andhra Pradesh,2018,3,314899,0
Andhra Pradesh,2018,3,405855,0
Andhra Pradesh,2018,3,394311,0
Andhra Pradesh,2018,3,518931,0
Andhra Pradesh,2018,3,537086,0
Andhra Pradesh,2018,3,322446,0
Andhra Pradesh,2018,3,203655,0
Andhra Pradesh,2018,3,308391,0
Andhra Pradesh,2018,3,349782,0
Andhra Pradesh,2018,3,515727,0
Andhra Pradesh,2018,4,694455,0
Andhra Pradesh,2018,4,284874,0
Andhra Pradesh,2018,4,978288,0
Andhra Pradesh,2018,4,394962,0
Andhra Pradesh,2018,4,510892,0
Andhra Pradesh,2018,4,498582,0
Andhra Pradesh,2018,4,659552,0
Andhra Pradesh,2018,4,682479,0
Andhra Pradesh,2018,4,407495,0
Andhra Pradesh,2018,4,257824,0
Andhra Pradesh,2018,4,387058,0
Andhra Pradesh,2018,4,435668,0
Andhra Pradesh,2018,4,665280,0
Andhra Pradesh,2019,1,839277,0
Andhra Pradesh,2019,1,345775,0
Andhra Pradesh,2019,1,1174517,0
Andhra Pradesh,2019,1,474260,0
Andhra Pradesh,2019,1,612162,0
Andhra Pradesh,2019,1,599422,0
Andhra Pradesh,2019,1,802394,0
Andhra Pradesh,2019,1,833694,0
Andhra Pradesh,2019,1,491908,0
Andhra Pradesh,2019,1,313334,0
Andhra Pradesh,2019,1,460590,0
Andhra Pradesh,2019,1,523372,0
Andhra Pradesh,2019,1,812314,0
Andhra Pradesh,2019,2,945181,7156762
Andhra Pradesh,2019,2,392764,3230330
Andhra Pradesh,2019,2,1318740,13681907
Andhra Pradesh,2019,2,539462,4488365
Andhra Pradesh,2019,2,695114,6056591
Andhra Pradesh,2019,2,680118,6240480
Andhra Pradesh,2019,2,915256,7268875
Andhra Pradesh,2019,2,952300,7822632
Andhra Pradesh,2019,2,558303,4774473
Andhra Pradesh,2019,2,355058,3541678
Andhra Pradesh,2019,2,519031,4345848
Andhra Pradesh,2019,2,592185,3853094
Andhra Pradesh,2019,2,925491,8914216
Andhra Pradesh,2019,3,1057167,28275322
Andhra Pradesh,2019,3,437939,11813195
Andhra Pradesh,2019,3,1460464,54836001
Andhra Pradesh,2019,3,598568,16267041
Andhra Pradesh,2019,3,773656,22845084
Andhra Pradesh,2019,3,755024,22827473
Andhra Pradesh,2019,3,1026418,28477132
Andhra Pradesh,2019,3,1066546,30077671
Andhra Pradesh,2019,3,619592,17768733
Andhra Pradesh,2019,3,394375,13065845
Andhra Pradesh,2019,3,574109,15833900
Andhra Pradesh,2019,3,662102,14227407
Andhra Pradesh,2019,3,1032733,34638738
Andhra Pradesh,2019,4,1195228,38299189
Andhra Pradesh,2019,4,496266,16353822
Andhra Pradesh,2019,4,1620235,70749983
Andhra Pradesh,2019,4,673522,21639748
Andhra Pradesh,2019,4,873033,30278539
Andhra Pradesh,2019,4,846885,29676997
Andhra Pradesh,2019,4,1158708,37846179
Andhra Pradesh,2019,4,1199971,39407473
Andhra Pradesh,2019,4,697154,23608360
Andhra Pradesh,2019,4,443810,17515311
Andhra Pradesh,2019,4,646642,21543798
Andhra Pradesh,2019,4,750078,19393528
Andhra Pradesh,2019,4,1156351,44888591
Andhra Pradesh,2020,1,1329664,46142746
Andhra Pradesh,2020,1,552007,20975989
Andhra Pradesh,2020,1,1763581,77558624
Andhra Pradesh,2020,1,748655,26870693
Andhra Pradesh,2020,1,971850,36900103
Andhra Pradesh,2020,1,936293,34198350
Andhra Pradesh,2020,1,1289678,45282758
Andhra Pradesh,2020,1,1331602,46079408
Andhra Pradesh,2020,1,775440,28879364
Andhra Pradesh,2020,1,490683,21562104
Andhra Pradesh,2020,1,717865,26166193
Andhra Pradesh,2020,1,843835,24542868
Andhra Pradesh,2020,1,1270907,51354573
Andhra Pradesh,2020,2,1459116,45884498
Andhra Pradesh,2020,2,608002,23808009
Andhra Pradesh,2020,2,1904719,69684456
Andhra Pradesh,2020,2,830709,32255276
Andhra Pradesh,2020,2,1076953,39704703
Andhra Pradesh,2020,2,1035093,36268390
Andhra Pradesh,2020,2,1426271,44267596
Andhra Pradesh,2020,2,1459041,41234166
Andhra Pradesh,2020,2,854459,30816403
Andhra Pradesh,2020,2,537798,24370380
Andhra Pradesh,2020,2,796769,29644037
Andhra Pradesh,2020,2,944829,26583613
Andhra Pradesh,2020,2,1385916,49820171
Andhra Pradesh,2020,3,1601940,64292857
Andhra Pradesh,2020,3,667858,31794753
Andhra Pradesh,2020,3,2058346,102589371
Andhra Pradesh,2020,3,915240,44970519
Andhra Pradesh,2020,3,1186851,55714787
Andhra Pradesh,2020,3,1132240,49164718
Andhra Pradesh,2020,3,1567595,62427501
Andhra Pradesh,2020,3,1599289,61028114
Andhra Pradesh,2020,3,937176,43951448
Andhra Pradesh,2020,3,587784,31199437
Andhra Pradesh,2020,3,877909,41578067
Andhra Pradesh,2020,3,1053674,38126238
Andhra Pradesh,2020,3,1506503,69462572
Andhra Pradesh,2020,4,1746280,82605352
Andhra Pradesh,2020,4,726761,36770992
Andhra Pradesh,2020,4,2209658,124730170
Andhra Pradesh,2020,4,999462,52839846
Andhra Pradesh,2020,4,1295872,69562398
Andhra Pradesh,2020,4,1230466,60615045
Andhra Pradesh,2020,4,1712940,81291172
Andhra Pradesh,2020,4,1744028,81787771
Andhra Pradesh,2020,4,1022944,54765443
Andhra Pradesh,2020,4,634462,35110885
Andhra Pradesh,2020,4,959182,49596303
Andhra Pradesh,2020,4,1163179,51170162
Andhra Pradesh,2020,4,1631331,88232999
Andhra Pradesh,2021,1,1878769,91478749
Andhra Pradesh,2021,1,782604,40590058
Andhra Pradesh,2021,1,2368081,135908324
Andhra Pradesh,2021,1,1075936,56911479
Andhra Pradesh,2021,1,1394849,73375049
Andhra Pradesh,2021,1,1323411,65326230
Andhra Pradesh,2021,1,1843237,92731167
Andhra Pradesh,2021,1,1876458,92941553
Andhra Pradesh,2021,1,1100541,60691988
Andhra Pradesh,2021,1,681621,37752539
Andhra Pradesh,2021,1,1032689,53525815
Andhra Pradesh,2021,1,1254117,57392671
Andhra Pradesh,2021,1,1751420,99083825
Andhra Pradesh,2021,2,2006272,84705076
Andhra Pradesh,2021,2,837958,43740255
Andhra Pradesh,2021,2,2526830,114313154
Andhra Pradesh,2021,2,1151232,76850749
Andhra Pradesh,2021,2,1492738,104568606
Andhra Pradesh,2021,2,1415585,81894678
Andhra Pradesh,2021,2,1968681,88248064
Andhra Pradesh,2021,2,2002662,85771678
Andhra Pradesh,2021,2,1176334,74049216
Andhra Pradesh,2021,2,729509,42684475
Andhra Pradesh,2021,2,1103004,72255265
Andhra Pradesh,2021,2,1339377,65118788
Andhra Pradesh,2021,2,1870723,110505432
Andhra Pradesh,2021,3,2150622,103626560
Andhra Pradesh,2021,3,902008,48622126
Andhra Pradesh,2021,3,2707931,139540800
Andhra Pradesh,2021,3,1239147,91533813
Andhra Pradesh,2021,3,1606735,124985545
Andhra Pradesh,2021,3,1522196,101210508
Andhra Pradesh,2021,3,2110878,106621413
Andhra Pradesh,2021,3,2145423,104358295
Andhra Pradesh,2021,3,1263550,90102349
Andhra Pradesh,2021,3,784444,46277311
Andhra Pradesh,2021,3,1183377,86369956
Andhra Pradesh,2021,3,1436576,80244808
Andhra Pradesh,2021,3,2007011,135043395
Andhra Pradesh,2021,4,2294347,142536856
Andhra Pradesh,2021,4,965335,61654215
Andhra Pradesh,2021,4,2888774,188757640
Andhra Pradesh,2021,4,1325728,86410317
Andhra Pradesh,2021,4,1719437,120768682
Andhra Pradesh,2021,4,1628242,97379271
Andhra Pradesh,2021,4,2252443,130920743
Andhra Pradesh,2021,4,2288148,134436469
Andhra Pradesh,2021,4,1349290,90814672
Andhra Pradesh,2021,4,839606,56101822
Andhra Pradesh,2021,4,1262963,83534122
Andhra Pradesh,2021,4,1532898,100007280
Andhra Pradesh,2021,4,2141818,154395512
Andhra Pradesh,2022,1,2432305,87134562
Andhra Pradesh,2022,1,1027283,46691467
Andhra Pradesh,2022,1,3061324,88803090
Andhra Pradesh,2022,1,1408929,104851997
Andhra Pradesh,2022,1,1827094,155792533
Andhra Pradesh,2022,1,1729513,119653214
Andhra Pradesh,2022,1,2387051,88844052
Andhra Pradesh,2022,1,2423373,85871644
Andhra Pradesh,2022,1,1431664,101671767
Andhra Pradesh,2022,1,892889,44804002
Andhra Pradesh,2022,1,1339782,98878499
Andhra Pradesh,2022,1,1626039,87642475
Andhra Pradesh,2022,1,2270705,144146671
Andhra Pradesh,2022,2,2564165,93383888
Andhra Pradesh,2022,2,1086164,51087942
Andhra Pradesh,2022,2,3226029,93552701
Andhra Pradesh,2022,2,1487589,108172758
Andhra Pradesh,2022,2,1928213,181499094
Andhra Pradesh,2022,2,1825280,136447455
Andhra Pradesh,2022,2,2514794,91997209
Andhra Pradesh,2022,2,2552107,95341487
Andhra Pradesh,2022,2,1509927,108755384
Andhra Pradesh,2022,2,943242,50230853
Andhra Pradesh,2022,2,1412848,106157470
Andhra Pradesh,2022,2,1714357,103338893
Andhra Pradesh,2022,2,2392549,158771722
Andhra Pradesh,2022,3,2702234,85780890
Andhra Pradesh,2022,3,1147016,46323107
Andhra Pradesh,2022,3,3397514,87888969
Andhra Pradesh,2022,3,1567520,114185009
Andhra Pradesh,2022,3,2030824,181038520
Andhra Pradesh,2022,3,1924127,143715547
Andhra Pradesh,2022,3,2647100,91146114
Andhra Pradesh,2022,3,2685215,86220959
Andhra Pradesh,2022,3,1588875,105928407
Andhra Pradesh,2022,3,995141,46767889
Andhra Pradesh,2022,3,1487140,107976611
Andhra Pradesh,2022,3,1805967,97509407
Andhra Pradesh,2022,3,2517657,162524274
Andhra Pradesh,2022,4,2835087,173720880
Andhra Pradesh,2022,4,1204785,72666058
Andhra Pradesh,2022,4,3566854,208604256
Andhra Pradesh,2022,4,1642503,94432083
Andhra Pradesh,2022,4,2128066,136685634
Andhra Pradesh,2022,4,2018290,105333688
Andhra Pradesh,2022,4,2774365,144773169
Andhra Pradesh,2022,4,2813645,156902257
Andhra Pradesh,2022,4,1663684,103101986
Andhra Pradesh,2022,4,1044490,64406405
Andhra Pradesh,2022,4,1556901,93975668
Andhra Pradesh,2022,4,1893310,129116752
Andhra Pradesh,2022,4,2636036,189655966
Andhra Pradesh,2023,1,2965296,98931582
Andhra Pradesh,2023,1,1263204,48743038
Andhra Pradesh,2023,1,3732544,107253885
Andhra Pradesh,2023,1,1719910,112502189
Andhra Pradesh,2023,1,2228505,177793392
Andhra Pradesh,2023,1,2114023,149581663
Andhra Pradesh,2023,1,2900895,103514892
Andhra Pradesh,2023,1,2941585,98727644
Andhra Pradesh,2023,1,1740294,111993275
Andhra Pradesh,2023,1,1094782,55519223
Andhra Pradesh,2023,1,1628595,109842928
Andhra Pradesh,2023,1,1980446,102965151
Andhra Pradesh,2023,1,2755784,164669558
Andhra Pradesh,2023,2,3082893,101375784
Andhra Pradesh,2023,2,1317771,48040159
Andhra Pradesh,2023,2,3877504,115516314
Andhra Pradesh,2023,2,1792637,104288559
Andhra Pradesh,2023,2,2323796,164437247
