State/District/Pincode,Year,Quarter,Registered_Users
south andaman,2018,1,5846
north and middle andaman,2018,1,632
nicobars,2018,1,262
744103,2018,1,1608
744101,2018,1,1108
744105,2018,1,1075
744102,2018,1,1006
744104,2018,1,272
744202,2018,1,237
744112,2018,1,215
744301,2018,1,207
744107,2018,1,196
744211,2018,1,156
south andaman,2018,2,8143
north and middle andaman,2018,2,911
nicobars,2018,2,351
744103,2018,2,2188
744101,2018,2,1521
744105,2018,2,1492
744102,2018,2,1419
744104,2018,2,396
744202,2018,2,343
744112,2018,2,299
744107,2018,2,293
744301,2018,2,273
744211,2018,2,240
south andaman,2018,3,10474
north and middle andaman,2018,3,1208
nicobars,2018,3,467
744103,2018,3,2741
744101,2018,3,1978
744105,2018,3,1935
744102,2018,3,1803
744104,2018,3,507
744202,2018,3,446
744112,2018,3,388
744107,2018,3,384
744301,2018,3,372
744211,2018,3,327
south andaman,2018,4,13133
north and middle andaman,2018,4,1553
nicobars,2018,4,536
744103,2018,4,3373
744101,2018,4,2498
744105,2018,4,2416
744102,2018,4,2231
744104,2018,4,634
744202,2018,4,554
744107,2018,4,548
744112,2018,4,496
744211,2018,4,433
744301,2018,4,425
south andaman,2019,1,15961
north and middle andaman,2019,1,2013
nicobars,2019,1,622
744103,2019,1,4136
744101,2019,1,3030
744105,2019,1,2994
744102,2019,1,2667
744104,2019,1,756
744202,2019,1,753
744107,2019,1,667
744112,2019,1,585
744211,2019,1,524
744301,2019,1,488
south andaman,2019,2,18621
north and middle andaman,2019,2,2417
nicobars,2019,2,693
744103,2019,2,4748
744101,2019,2,3631
744105,2019,2,3547
744102,2019,2,3008
744202,2019,2,885
744104,2019,2,878
744107,2019,2,787
744112,2019,2,672
744211,2019,2,633
744301,2019,2,534
south andaman,2019,3,20518
north and middle andaman,2019,3,2662
nicobars,2019,3,751
744103,2019,3,5218
744101,2019,3,4026
744105,2019,3,3920
744102,2019,3,3250
744202,2019,3,982
744104,2019,3,975
744107,2019,3,885
744112,2019,3,765
744211,2019,3,701
744301,2019,3,575
south andaman,2019,4,22202
north and middle andaman,2019,4,2955
nicobars,2019,4,803
744103,2019,4,5637
744101,2019,4,4321
744105,2019,4,4277
744102,2019,4,3485
744202,2019,4,1087
744104,2019,4,1062
744107,2019,4,953
744112,2019,4,812
744211,2019,4,783
744301,2019,4,611
south andaman,2020,1,24174
north and middle andaman,2020,1,3315
nicobars,2020,1,879
744103,2020,1,6108
744101,2020,1,4689
744105,2020,1,4684
744102,2020,1,3727
744202,2020,1,1216
744104,2020,1,1154
744107,2020,1,1062
744112,2020,1,889
744211,2020,1,886
744301,2020,1,669
south andaman,2020,2,27626
north and middle andaman,2020,2,4100
nicobars,2020,2,984
744103,2020,2,6804
744105,2020,2,5479
744101,2020,2,5365
744102,2020,2,4066
744202,2020,2,1475
744104,2020,2,1333
744107,2020,2,1252
744112,2020,2,1039
744211,2020,2,1036
744205,2020,2,806
south andaman,2020,3,34833
north and middle andaman,2020,3,5355
nicobars,2020,3,1147
744103,2020,3,8318
744105,2020,3,7007
744101,2020,3,6881
744102,2020,3,4919
744202,2020,3,1965
744104,2020,3,1718
744107,2020,3,1710
744112,2020,3,1372
744211,2020,3,1279
744205,2020,3,1008
south andaman,2020,4,43908
north and middle andaman,2020,4,7076
nicobars,2020,4,1412
744103,2020,4,10408
744105,2020,4,8962
744101,2020,4,8593
744102,2020,4,5882
744202,2020,4,2711
744107,2020,4,2346
744104,2020,4,2167
744112,2020,4,1761
744211,2020,4,1579
744205,2020,4,1346
south andaman,2021,1,48352
north and middle andaman,2021,1,7833
nicobars,2021,1,1573
744103,2021,1,11416
744105,2021,1,9934
744101,2021,1,9457
744102,2021,1,6395
744202,2021,1,3005
744107,2021,1,2586
744104,2021,1,2383
744112,2021,1,1940
